run_name,dx,d0,n_train,seed,oracle_mse,normal_mse,wall_time_seconds
dx128_d016_n10000_seed0,128,16,10000,0,34.30769240722656,27.967915850830078,34.82276773452759
dx128_d016_n10000_seed1,128,16,10000,1,35.513972760009764,29.14518438720703,49.34486985206604
dx128_d016_n10000_seed2,128,16,10000,2,35.86136212158203,29.59434295654297,2600.5652520656586
dx128_d016_n2000_seed0,128,16,2000,0,85.66566566162109,76.6772680908203,9.546344757080078
dx128_d016_n2000_seed1,128,16,2000,1,85.81678132324218,76.83329481201172,15.316891431808472
dx128_d016_n2000_seed2,128,16,2000,2,87.30302681884766,78.20035593261719,7.853588819503784
dx128_d016_n50000_seed0,128,16,50000,0,13.34736018371582,10.092613805770874,126.89406394958496
dx128_d016_n50000_seed1,128,16,50000,1,13.27753941040039,10.075803284072876,119.8417055606842
dx128_d016_n50000_seed2,128,16,50000,2,12.734750479125976,9.938594550323486,219.55658841133118
dx128_d02_n10000_seed0,128,2,10000,0,20.176541326904296,19.46583310546875,27.44745659828186
dx128_d02_n10000_seed1,128,2,10000,1,19.966390853881837,19.371815878295898,35.389060497283936
dx128_d02_n10000_seed2,128,2,10000,2,20.243497338867186,19.441010624694826,33.447975873947144
dx128_d02_n2000_seed0,128,2,2000,0,57.76751121826172,56.889076330566404,8.024394750595093
dx128_d02_n2000_seed1,128,2,2000,1,57.77456325683594,56.98170298461914,9.553431987762451
dx128_d02_n2000_seed2,128,2,2000,2,56.82124372558594,55.81739432983399,9.038141965866089
dx128_d02_n50000_seed0,128,2,50000,0,10.051649562072754,9.744958144760131,152.59256863594055
dx128_d02_n50000_seed1,128,2,50000,1,10.124314039611816,9.747320557022094,243.90619349479675
dx128_d02_n50000_seed2,128,2,50000,2,10.49230908203125,10.168690870666504,127.33636474609375
dx128_d04_n10000_seed0,128,4,10000,0,22.68851489868164,20.728939653015136,26.339871168136597
dx128_d04_n10000_seed1,128,4,10000,1,22.033696697998046,20.271287843322753,28.26594042778015
dx128_d04_n10000_seed2,128,4,10000,2,22.264577676391603,20.293877056884767,35.73368740081787
dx128_d04_n2000_seed0,128,4,2000,0,65.99348576049805,63.37197210083008,9.010627269744873
dx128_d04_n2000_seed1,128,4,2000,1,66.25467086181641,63.90019061279297,7.451679468154907
dx128_d04_n2000_seed2,128,4,2000,2,66.71741258544922,64.02240364990234,9.671001672744751
dx128_d04_n50000_seed0,128,4,50000,0,10.974781098937989,10.144815990447999,188.4484040737152
dx128_d04_n50000_seed1,128,4,50000,1,10.965002575683593,10.255316731262207,163.61254787445068
dx128_d04_n50000_seed2,128,4,50000,2,10.712610089111328,10.187270959472656,120.03711819648743
dx128_d08_n10000_seed0,128,8,10000,0,25.67147553100586,21.73419674987793,56.14573884010315
dx128_d08_n10000_seed1,128,8,10000,1,25.365770477294923,21.170678590393067,26.31563401222229
dx128_d08_n10000_seed2,128,8,10000,2,24.77533169250488,21.051032232666017,34.059765100479126
dx128_d08_n2000_seed0,128,8,2000,0,73.9953310913086,68.62330341796876,9.635216474533081
dx128_d08_n2000_seed1,128,8,2000,1,72.85963764648437,67.76960170898438,15.41664457321167
dx128_d08_n2000_seed2,128,8,2000,2,74.78203618164062,69.42357244873047,9.972833633422852
dx128_d08_n50000_seed0,128,8,50000,0,11.842083770751954,10.195061971664428,119.84996271133423
dx128_d08_n50000_seed1,128,8,50000,1,11.690836520385743,10.020558966827393,119.62648677825928
dx128_d08_n50000_seed2,128,8,50000,2,11.416651763916015,10.222425575637818,119.18020343780518
dx32_d04_n10000_seed0,32,4,10000,0,1.4332824966430664,1.1857576594352721,24.90902829170227
dx32_d04_n10000_seed1,32,4,10000,1,1.8504968843460083,1.5718876742362977,31.726279497146606
dx32_d04_n10000_seed2,32,4,10000,2,1.470217790222168,1.2569162374973297,40.23036241531372
dx32_d04_n2000_seed0,32,4,2000,0,5.669104256439209,3.534651934814453,6.523635387420654
dx32_d04_n2000_seed1,32,4,2000,1,5.957616648864746,3.8718969566345214,9.22545337677002
dx32_d04_n2000_seed2,32,4,2000,2,5.979822116088867,3.7636648166656492,6.486105918884277
dx32_d04_n50000_seed0,32,4,50000,0,0.41122742443084714,0.28370150620937346,197.75349593162537
dx32_d04_n50000_seed1,32,4,50000,1,0.4325821025371552,0.31391604009866714,105.2956953048706
dx32_d04_n50000_seed2,32,4,50000,2,0.4039672176361084,0.26001924513578417,104.55762195587158
dx512_d04_n10000_seed0,512,4,10000,0,368.47077763671876,364.5208514160156,36.56569504737854
dx512_d04_n10000_seed1,512,4,10000,1,367.9783480957031,364.19582275390627,36.47798681259155
dx512_d04_n10000_seed2,512,4,10000,2,367.999224609375,364.7919551269531,45.06039214134216
dx512_d04_n2000_seed0,512,4,2000,0,430.92703388671873,427.659912890625,10.573659181594849
dx512_d04_n2000_seed1,512,4,2000,1,431.0612729980469,427.5625873046875,12.949032306671143
dx512_d04_n2000_seed2,512,4,2000,2,431.2446744140625,427.6678126953125,19.52229380607605
dx512_d04_n50000_seed0,512,4,50000,0,335.1811332519531,332.23905947265627,165.03559279441833
dx512_d04_n50000_seed1,512,4,50000,1,335.155972265625,332.004090234375,166.63813304901123
dx512_d04_n50000_seed2,512,4,50000,2,334.67906655273435,331.7258555175781,164.67679023742676
